timestamp source destination sourceport destport databytes
0.693936 2 37 1941 1131 212
0.703696 17 20 25 3173 0
0.703697 34 17 40620 25 40
0.707600 2 1 2046 1223 146
0.710528 2 39 1630 1042 512
0.711504 19 17 1758 25 512
0.711505 2 40 4076 1308 1
0.712481 30 29 1296 3001 0
0.713456 2 39 1630 1042 512
0.714432 17 19 25 1758 0
0.717360 41 2 1119 1951 0
0.719312 2 41 1951 1119 512
0.728096 17 34 25 40620 52
0.731024 8 42 119 4184 0
0.738832 12 2 1064 20 0
0.740784 2 12 20 1064 256
0.743712 16 5 119 3853 5
0.746640 2 43 2016 21 8
0.747616 5 16 3853 119 41
0.758352 21 2 1397 20 0
0.768112 2 21 20 1397 512
0.768113 38 5 119 3854 0
0.770065 44 45 5000 1350 69
0.771040 5 38 3854 119 0
0.771041 5 46 119 4324 0
0.772992 45 47 513 1022 69
0.773968 48 2 1161 2032 0
0.775920 2 48 2032 1161 512
0.776897 47 49 23 1067 71
0.779824 44 45 5000 1352 69
0.781776 45 47 513 1021 69
0.784704 47 49 23 1065 71
0.785680 50 2 55296 20 0
0.787632 2 50 20 55296 512
0.787633 5 51 3855 119 0
0.787634 2 50 20 55296 512
0.792512 51 5 119 3855 0
0.792513 23 24 3435 80 0
0.793488 5 51 3855 119 0
0.793489 23 24 3435 80 0
0.796416 24 23 80 3435 0
0.797393 24 23 80 3435 0
0.799345 16 5 119 3853 15
0.801296 10 2 1202 2029 0
0.802272 5 16 3853 119 35
0.804224 2 10 2029 1202 512
0.804225 47 45 1022 513 0
0.805200 47 45 1021 513 0
0.808128 34 17 40620 25 6
0.832528 35 2 1076 1964 0
0.833504 16 5 119 3853 15
0.834480 2 35 1964 1076 212
0.835456 5 16 3853 119 35
0.836432 50 2 55296 20 0
0.839360 2 50 20 55296 512
0.840336 19 17 1758 25 512
0.840337 52 2 1291 23 2
0.852050 16 5 119 3853 15
0.854976 5 16 3853 119 32
0.854977 1 2 1223 2046 0
0.855952 46 5 4324 119 512
0.856928 46 5 4324 119 512
0.857904 46 5 4324 119 512
0.857905 2 52 23 1291 45
0.867665 12 2 1064 20 0
0.869616 2 12 20 1064 256
0.880352 16 5 119 3853 5
0.882304 21 2 1397 20 0
0.883280 5 16 3853 119 512
0.884256 5 16 3853 119 512
0.884257 2 21 20 1397 512
0.884258 5 16 3853 119 17
0.900849 17 34 25 40620 0
0.905728 33 2 1167 2005 0
0.906708 16 5 119 3853 0
0.907680 2 33 2005 1167 512
0.929152 31 2 1263 1996 0
0.930128 8 53 119 7234 0
0.931104 2 31 1996 1263 512
0.932080 25 2 1069 1952 0
0.933056 2 25 1952 1069 512
0.935008 45 44 1352 5000 0
0.935009 45 44 1350 5000 0
0.948672 11 5 119 3200 5
0.952576 54 8 119 3849 15
0.960385 5 46 119 4324 0
0.961360 5 55 119 4583 19
0.962336 8 56 3876 53 0
0.963312 5 57 119 3114 0
0.963313 1 2 1223 2046 0
0.966240 2 1 2046 1223 0
0.966241 5 11 3200 119 0
0.971120 49 47 1065 23 0
0.972097 49 47 1067 23 0
0.977952 21 2 1397 20 0
0.979904 2 21 20 1397 512
0.989664 15 2 4472 80 0
0.991616 2 15 80 4472 256
0.995520 30 58 3217 3001 56
1.000000 43 2 21 2016 0
1.001953 30 29 1296 3001 56
1.002928 2 43 2016 21 2
1.002929 12 2 1064 20 0
1.003904 2 12 20 1064 256
1.006832 30 59 3331 3001 56
1.011712 30 60 1187 3001 56
1.018544 2 3 1985 20 0
1.019520 19 17 1758 25 512
1.025376 3 2 20 1985 512
1.033184 41 2 1119 1951 0
1.037088 2 41 1951 1119 512
1.038064 21 2 1397 20 0
1.040016 2 21 20 1397 512
1.040992 55 5 4583 119 39
1.043920 46 5 4324 119 512
1.045872 46 5 4324 119 512
1.045873 46 5 4324 119 512
1.046848 19 17 1758 25 512
1.046850 29 30 3001 1296 0
1.050752 61 8 119 3789 15
1.070272 52 2 1291 23 0
1.083936 17 19 25 1758 0
1.087840 15 2 4472 80 0
1.088816 2 15 80 4472 256
1.089792 2 15 80 4472 256
1.089793 2 15 80 4472 256
1.091744 8 54 3849 119 45
1.092720 62 5 119 4971 5
1.094672 16 5 119 3853 0
1.095648 5 16 3853 119 3
1.114192 10 2 1202 2029 0
1.116144 2 10 2029 1202 512
1.116145 35 2 1076 1964 0
1.118096 2 35 1964 1076 212
1.122976 21 2 1397 20 0
1.124928 2 21 20 1397 512
1.128833 17 34 25 40620 50
1.128834 37 2 1131 1941 0
1.130784 2 37 1941 1131 212
1.130785 8 61 3789 119 0
1.130786 2 37 1941 1131 212
1.145424 63 64 3916 25 0
1.149328 12 2 1064 20 0
1.151280 2 12 20 1064 256
1.151281 65 45 5000 1340 113
1.154208 45 47 513 1023 111
1.157136 47 66 23 4378 111
1.166896 5 55 119 4583 0
1.168848 5 62 4971 119 512
1.168849 5 62 4971 119 512
1.169824 5 62 4971 119 512
1.169825 21 2 1397 20 0
1.170800 5 62 4971 119 512
1.170801 5 62 4971 119 137
1.170802 67 2 1114 2025 0
1.173729 2 21 20 1397 512
1.174704 2 67 2025 1114 512
1.175680 2 67 2025 1114 512
1.176656 15 2 4472 80 0
1.180561 43 2 21 2016 29
1.189344 19 17 1758 25 512
1.193249 48 2 1161 2032 0
1.196176 2 48 2032 1161 512
1.203009 47 45 1023 513 0
1.207888 35 2 1076 1964 0
1.211792 2 68 2795 1439 1
1.215696 2 35 1964 1076 212
1.217648 2 43 2016 21 0
1.222528 33 2 1167 2005 0
1.224480 2 33 2005 1167 512
1.232288 15 2 4472 80 0
1.234240 2 15 80 4472 256
1.237168 34 17 40620 25 536
1.240096 66 47 4378 23 0
1.241072 34 17 40620 25 536
1.242048 34 17 40620 25 536
1.242050 31 2 1263 1996 0
1.244976 2 31 1996 1263 512
1.244977 17 34 25 40620 0
1.246928 34 17 40620 25 536
1.249856 34 17 40620 25 536
1.254736 25 2 1069 1952 0
1.255712 17 34 25 40620 0
1.256688 2 25 1952 1069 512
1.265472 54 8 119 3849 0
1.269376 21 2 1397 20 0
1.272304 2 21 20 1397 512
1.275232 60 30 3001 1187 0
1.295729 16 5 119 3853 0
1.299632 17 19 25 1758 0
1.305489 15 2 4472 80 0
1.311344 37 2 1131 1941 0
1.313296 24 69 80 9583 1
1.330864 5 11 3200 119 37
1.330865 21 2 1397 20 0
1.331841 35 2 1076 1964 0
1.334768 2 21 20 1397 512
1.334769 45 65 1340 5000 0
1.334770 2 35 1964 1076 212
1.343552 34 17 40620 25 536
1.343553 34 17 40620 25 10
1.345505 12 2 1064 20 0
1.346480 70 71 7413 25 0
1.346481 59 30 3001 3331 0
1.348432 2 12 20 1064 256
1.348433 41 2 1119 1951 0
1.350384 2 41 1951 1119 512
1.352336 8 56 3877 53 0
1.366976 5 46 119 4324 0
1.381617 32 22 1879 80 0
1.390400 19 17 1758 25 512
1.396256 24 69 80 9583 1
1.397232 72 73 3642 25 0
1.398208 11 5 119 3200 0
1.403089 58 30 3001 3217 0
1.408945 52 2 1291 23 2
1.418704 2 3 1985 20 0
1.434320 2 52 23 1291 100
1.436272 74 17 3096 25 0
1.437248 32 22 1879 80 229
1.441152 15 2 4472 80 0
1.442128 17 74 25 3096 0
1.445056 2 15 80 4472 256
1.445057 5 75 119 3143 5
1.446032 5 76 119 4973 0
1.448960 2 52 23 1291 512
1.452864 46 5 4324 119 512
1.454816 46 5 4324 119 512
1.454817 75 5 3143 119 34
1.455792 46 5 4324 119 512
1.461649 46 5 4324 119 512
1.463600 22 32 80 1879 512
1.465552 22 32 80 1879 512
1.473360 12 2 1064 20 0
1.475312 2 12 20 1064 256
1.483120 37 2 1131 1941 0
1.485072 50 2 55296 20 0
1.486048 2 37 1941 1131 212
1.488000 2 50 20 55296 512
1.488001 2 50 20 55296 512
1.498736 17 34 25 40620 0
1.500688 10 2 1202 2029 0
1.502640 2 10 2029 1202 512
1.504592 8 77 3873 119 42
1.525088 34 17 40620 25 536
1.527040 77 8 119 3873 15
1.527041 17 34 25 40620 0
1.529969 8 77 3873 119 0
1.530944 8 77 3873 119 39
1.542656 77 8 119 3873 15
1.567056 5 75 119 3143 0
1.569008 15 2 4472 80 0
1.569985 2 15 80 4472 256
1.573888 31 2 1263 1996 0
1.575840 2 31 1996 1263 512
1.575841 48 2 1161 2032 0
1.577792 2 48 2032 1161 512
1.584624 33 2 1167 2005 0
1.585600 21 22 1408 80 0
1.586576 2 33 2005 1167 512
1.588528 22 21 80 1408 512
1.589504 22 21 80 1408 303
1.602193 37 2 1131 1941 0
1.604144 2 37 1941 1131 212
1.605120 22 21 80 1408 512
1.606096 22 21 80 1408 303
1.607073 12 2 1064 20 0
1.608048 2 12 20 1064 256
1.618784 25 2 1069 1952 0
1.621712 2 25 1952 1069 512
1.624640 78 5 3299 119 44
1.634400 2 52 23 1291 512
1.638304 2 52 23 1291 512
1.658801 41 2 1119 1951 0
1.659777 50 2 55296 20 0
1.660752 2 41 1951 1119 512
1.661729 2 50 20 55296 512
1.663680 2 50 20 55296 512
1.669537 79 80 25 3615 49
1.671488 52 2 1291 23 0
1.674417 80 79 3615 25 6
1.675392 8 81 3878 53 0
1.688080 5 11 119 3868 15
1.689056 5 82 119 3935 15
1.697840 17 19 25 1758 0
1.712480 29 30 3001 1296 60
1.718336 13 14 17873 80 0
1.725169 52 2 1291 23 0
1.727121 2 52 23 1291 140
1.727122 11 5 3868 119 36
1.730049 8 77 3873 119 0
1.742739 15 2 4472 80 0
1.744688 2 15 80 4472 256
1.746642 83 8 119 1596 5
1.748592 12 2 1064 20 0
1.750544 2 12 20 1064 256
1.761280 21 22 1408 80 0
1.766161 5 11 119 3868 0
1.774944 74 17 3096 25 0
1.776896 35 2 1076 1964 0
1.779824 2 35 1964 1076 212
1.803248 5 84 119 2235 15
1.804224 5 75 119 2845 5
1.804225 5 4 119 4241 15
1.805200 5 46 119 4324 0
1.810080 37 2 1131 1941 0
1.812032 2 37 1941 1131 212
1.813008 75 5 2845 119 31
1.813009 10 2 1202 2029 0
1.814960 2 10 2029 1202 512
1.825696 84 5 2235 119 43
1.832528 36 2 6905 20 0
1.835456 2 36 20 6905 512
1.835457 2 36 20 6905 512
1.861808 35 2 1076 1964 0
1.862784 2 35 1964 1076 212
1.866688 52 2 1291 23 0
1.872544 79 80 25 3615 0
1.882304 15 2 4472 80 0
1.884256 2 15 80 4472 256
1.886208 79 80 25 3615 50
1.886209 25 2 1069 1952 0
1.886210 62 5 119 4971 0
1.887184 5 62 4971 119 3
1.888160 2 25 1952 1069 512
1.893040 46 5 4324 119 512
1.894992 46 5 4324 119 512
1.896944 46 5 4324 119 512
1.896946 46 5 4324 119 512
1.898897 85 86 2540 80 0
1.900848 85 86 2540 80 0
1.902800 5 61 119 1569 15
1.902801 5 57 119 3114 50
1.903776 5 87 119 1440 5
1.903778 33 2 1167 2005 0
1.903779 5 8 119 4627 5
1.905728 2 33 2005 1167 512
1.907680 5 76 119 4973 5
1.907681 30 29 1296 3001 0
1.907682 5 88 119 40453 5
1.908656 57 5 3114 119 0
1.909632 80 79 3615 25 0
1.922320 76 5 4973 119 43
1.927200 57 5 3114 119 30
1.929152 8 83 1596 119 0
1.933057 37 2 1131 1941 0
1.935008 2 37 1941 1131 212
1.935984 61 5 1569 119 38
1.937936 5 26 119 4495 5
1.951600 12 2 1064 20 0
1.952577 2 12 20 1064 256
1.966240 5 61 119 1569 0
1.970144 21 22 1408 80 0
1.971120 39 2 1042 1630 0
1.973072 2 39 1630 1042 512
1.974048 2 39 1630 1042 512
1.976000 4 5 4241 119 43
1.982834 17 74 25 3096 97
1.987712 35 2 1076 1964 0
1.988688 2 35 1964 1076 212
1.992592 86 85 80 2540 0
1.996496 85 86 2540 80 0
1.997472 85 86 2540 80 0
2.000976 85 86 2540 80 326
2.002928 89 90 24170 179 92
2.003905 5 46 119 4324 0
2.003906 85 86 2540 80 326
2.003908 5 55 119 4583 5
2.018544 19 17 1758 25 512
2.023425 16 5 119 3853 5
2.026353 5 16 3853 119 37
2.026354 41 2 1119 1951 0
2.029280 2 41 1951 1119 512
2.057585 87 5 1440 119 0
2.061489 91 2 1086 4043 0
2.063440 2 91 4043 1086 512
2.064416 2 91 4043 1086 512
2.069296 5 75 119 3143 5
2.071249 5 78 119 3299 15
2.073200 5 84 119 2235 15
2.073201 5 75 119 2845 5
2.075153 5 61 119 1569 15
2.075155 5 57 119 3114 15
2.075157 5 76 119 4973 5
2.075158 5 11 119 3868 5
2.076128 5 4 119 4241 5
2.079056 84 5 2235 119 42
2.081008 26 5 4495 119 512
2.081984 55 5 4583 119 3
2.082960 12 2 1064 20 0
2.082961 5 84 119 2235 5
2.084912 26 5 4495 119 512
2.084913 15 2 4472 80 0
2.084914 57 5 3114 119 0
2.085888 2 12 20 1064 256
2.085890 5 55 119 4583 19
2.087840 5 26 119 4495 0
2.087841 2 15 80 4472 256
2.088816 75 5 3143 119 0
2.089792 75 5 2845 119 0
2.089793 26 5 4495 119 512
2.096624 17 19 25 1758 0
2.098576 16 5 119 3853 0
2.100528 11 5 3868 119 512
2.100529 88 5 40453 119 40
2.101504 11 5 3868 119 512
2.101505 11 5 3868 119 512
2.102481 86 85 80 2540 0
2.102482 5 11 119 3868 0
2.105408 5 88 119 40453 15
2.105409 11 5 3868 119 512
2.106385 11 5 3868 119 426
2.111264 46 5 4324 119 512
2.112240 46 5 4324 119 512
2.114192 5 46 119 4324 0
2.114193 5 11 119 3868 44
2.116144 46 5 4324 119 512
2.117120 61 5 1569 119 37
2.117121 37 2 1131 1941 0
2.119072 46 5 4324 119 512
2.120048 2 37 1941 1131 212
2.124928 92 93 3729 25 0
2.129811 94 85 2601 8080 0
2.130784 8 5 4627 119 0
2.133712 85 94 8080 2601 0
2.141520 82 5 3935 119 0
2.152256 75 5 3143 119 512
2.155184 75 5 3143 119 512
2.155185 10 2 1202 2029 0
2.157136 2 10 2029 1202 512
2.158113 75 5 3143 119 512
2.161040 75 5 3143 119 512
2.163969 75 5 2845 119 512
2.164944 55 5 4583 119 56
2.165920 75 5 2845 119 392
2.165921 5 61 119 1569 0
2.169824 95 2 3937 21 1
2.171776 36 2 6905 20 0
2.171777 2 95 21 3937 0
2.173728 2 36 20 6905 512
2.175680 5 75 119 3143 0
2.190320 15 2 4472 80 0
2.192272 21 22 1408 80 0
2.192273 2 15 80 4472 256
2.194224 75 5 3143 119 512
2.194225 4 5 4241 119 0
2.196176 75 5 3143 119 389
2.197152 46 5 4324 119 512
2.198128 11 5 3868 119 0
2.202032 46 5 4324 119 512
2.206912 25 2 1069 1952 0
2.208864 2 25 1952 1069 512
2.209840 2 25 1952 1069 512
2.218624 2 96 1940 40094 1
2.218625 12 2 1064 20 0
2.222528 2 97 20 1029 512
2.222529 33 2 1167 2005 0
2.224480 2 98 3513 3724 1
2.226433 2 12 20 1064 256
2.228384 2 33 2005 1167 512
2.237168 26 5 4495 119 512
2.238145 94 85 2601 8080 0
2.241072 26 5 4495 119 512
2.245952 36 2 6905 20 0
2.247904 2 36 20 6905 512
2.247905 2 97 20 1029 512
2.251808 37 2 1131 1941 0
2.253760 2 37 1941 1131 212
2.265472 84 5 2235 119 512
2.265473 84 5 2235 119 512
2.266448 84 5 2235 119 512
2.268400 41 2 1119 1951 0
2.269376 76 5 4973 119 0
2.272305 2 41 1951 1119 512
2.288896 96 2 40094 1940 0
2.325984 74 17 3096 25 15
2.341600 78 5 3299 119 43
2.343552 16 5 119 3853 15
2.346480 5 16 3853 119 37
2.349409 50 2 55296 20 0
2.351360 12 2 1064 20 0
2.352336 2 12 20 1064 256
2.365024 78 5 3299 119 0
2.366000 5 78 119 3299 0
2.366001 5 55 119 4583 0
2.366002 99 63 1896 25 0
2.367952 17 74 25 3096 41
2.368929 63 99 25 1896 0
2.369904 90 89 179 24170 0
2.371856 89 90 24170 179 441
2.381616 5 46 119 4324 0
2.382592 8 100 3879 53 0
2.388448 80 79 3615 25 512
2.389426 80 79 3615 25 512
2.390400 80 79 3615 25 512
2.391376 80 79 3615 25 512
2.391377 80 79 3615 25 431
2.395280 15 2 4472 80 0
2.396256 2 15 80 4472 256
2.397232 85 101 2536 80 0
2.408944 16 5 119 3853 15
2.410897 5 16 3853 119 37
2.412848 35 2 1076 1964 0
2.414800 2 35 1964 1076 212
2.415776 21 22 1408 80 0
2.426512 4 5 4241 119 512
2.426513 37 2 1131 1941 0
2.426514 5 4 3849 119 3
2.429440 4 5 4241 119 512
2.431392 2 37 1941 1131 212
2.431393 102 2 1163 2036 0
2.432368 2 102 2036 1163 0
2.433344 4 5 4241 119 512
2.437248 82 5 3935 119 32
2.441152 5 61 119 1569 15
2.446032 61 5 1569 119 34
2.468480 46 5 4324 119 512
2.468481 46 5 4324 119 512
2.471408 21 2 1397 20 0
2.472384 85 101 2536 80 0
2.472385 46 5 4324 119 512
2.474336 46 5 4324 119 512
2.475312 2 102 2036 1163 0
2.475313 46 5 4324 119 512
2.491904 15 2 4472 80 0
2.492880 50 2 55296 20 0
2.492881 48 2 1161 2032 0
2.493856 2 15 80 4472 256
2.494832 2 48 2032 1161 512
2.498736 16 5 119 3853 0
2.505569 79 80 25 3615 0
2.506544 67 2 1114 2025 0
2.507521 80 79 3615 25 3
2.510448 2 67 2025 1114 512
2.511424 2 67 2025 1114 512
2.511426 2 67 2025 1114 512
2.513377 10 2 1202 2029 0
2.515328 2 10 2029 1202 512
2.522160 35 2 1076 1964 0
2.524112 2 35 1964 1076 212
2.539728 33 2 1167 2005 0
2.541680 2 33 2005 1167 512
2.541681 16 5 119 3853 15
2.551441 12 2 1064 20 0
2.554368 2 12 20 1064 256
2.557296 21 2 1397 20 0
2.560225 5 16 3853 119 36
2.565105 62 5 119 4971 0
2.568032 5 61 119 1569 0
2.568033 37 2 1131 1941 0
2.569008 2 37 1941 1131 212
2.571937 5 26 119 4495 0
2.574865 5 84 119 2235 0
2.575840 5 75 119 2845 5
2.575841 5 4 119 4241 0
2.576816 5 55 119 4583 5
2.577792 67 2 1114 2025 0
2.577793 41 2 1119 1951 0
2.579744 5 75 119 3143 5
2.579745 2 41 1951 1119 512
2.579746 5 78 119 3299 15
2.580720 5 82 119 3935 15
2.581696 5 46 119 4324 0
2.582672 5 61 119 1569 5
2.582673 35 2 1076 1964 0
2.584624 2 35 1964 1076 212
2.593408 76 5 4973 119 512
2.594384 4 5 119 3849 0
2.596336 76 5 4973 119 512
2.597312 5 76 119 4973 0
2.600240 76 5 4973 119 512
2.600241 75 5 3143 119 38
2.600242 75 5 2845 119 46
2.615856 25 2 1069 1952 0
2.616832 76 5 4973 119 512
2.618784 2 25 1952 1069 512
2.620737 21 2 1397 20 0
2.623664 6 2 1090 2023 0
2.624640 2 21 20 1397 512
2.625616 2 6 2023 1090 512
2.655872 15 2 4472 80 0
2.656848 55 5 4583 119 3
2.657824 2 15 80 4472 256
2.671488 46 5 4324 119 512
2.675392 79 80 25 3615 0
2.678320 4 5 4241 119 334
2.680272 46 5 4324 119 512
2.681248 46 5 4324 119 512
2.682224 62 5 119 4971 5
2.683200 46 5 4324 119 512
2.683201 46 5 4324 119 512
2.685152 26 5 4495 119 512
2.687104 57 5 3114 119 35
2.688080 87 5 1440 119 33
2.689056 5 62 4971 119 46
2.690032 5 76 119 4973 0
2.691984 5 75 119 2845 15
2.694912 26 5 4495 119 512
2.696864 17 20 25 3173 8
2.697840 26 5 4495 119 512
2.697841 16 5 119 3853 0
2.697842 5 46 119 4324 0
2.700768 21 2 1397 20 0
2.701745 76 5 4973 119 156
2.702720 75 5 2845 119 37
2.707600 74 17 3096 25 33
2.728096 2 103 20 56804 0
2.731024 2 50 20 55296 512
2.736880 37 2 1131 1941 0
2.739809 2 37 1941 1131 212
2.748592 82 5 3935 119 0
2.752496 61 5 1569 119 0
2.752497 21 2 1397 20 0
2.763232 12 2 1064 20 0
2.765184 2 12 20 1064 256
2.766160 5 87 119 1440 0
2.770064 22 104 80 1079 1
2.779825 78 5 3299 119 0
2.780800 82 5 3935 119 47
2.782752 46 5 4324 119 512
2.787632 5 75 119 3143 5
2.796416 46 5 4324 119 512
2.797392 46 5 4324 119 512
2.798368 46 5 4324 119 512
2.799344 46 5 4324 119 512
2.807152 11 5 3868 119 41
2.813985 20 17 3173 25 6
2.815936 22 104 80 1079 1
2.817888 90 89 179 24170 0
2.827648 15 2 4472 80 0
2.828624 2 15 80 4472 256
2.829600 2 15 80 4472 256
2.831552 48 2 1161 2032 0
2.833504 2 48 2032 1161 512
2.854976 75 5 3143 119 512
2.855952 75 5 3143 119 110
2.858880 10 2 1202 2029 0
2.860832 2 10 2029 1202 512
2.869616 5 26 119 4495 0
2.872544 5 4 119 4241 47
2.873521 5 46 119 4324 0
2.877425 33 2 1167 2005 0
2.879377 2 33 2005 1167 512
2.884256 5 55 119 4583 19
2.884257 5 57 119 3114 15
2.885232 5 87 119 1440 15
2.891088 61 5 1569 119 512
2.892064 57 5 3114 119 0
2.893040 17 74 25 3096 0
2.894016 61 5 1569 119 512
2.894018 41 2 1119 1951 0
2.894994 12 2 1064 20 0
2.895968 2 41 1951 1119 512
2.896944 61 5 1569 119 472
2.896946 2 12 20 1064 256
2.897920 85 105 8080 1943 511
2.902800 37 2 1131 1941 0
2.904752 2 37 1941 1131 212
2.912560 35 2 1076 1964 0
2.915488 2 35 1964 1076 212
2.919392 103 2 56804 20 0
2.919394 14 13 80 17873 0
2.920368 26 5 4495 119 512
2.920369 2 103 20 56804 0
2.923296 14 13 80 17873 0
2.924272 2 103 21 56796 53
2.926224 26 5 4495 119 512
2.926225 2 103 20 56804 214
2.928176 2 103 20 56804 0
2.932080 25 2 1069 1952 0
2.933056 26 5 4495 119 512
2.935984 2 25 1952 1069 512
2.936960 26 5 4495 119 512
2.940864 87 5 1440 119 49
2.955504 55 5 4583 119 45
2.959408 46 5 4324 119 512
2.960384 46 5 4324 119 512
2.964288 46 5 4324 119 512
2.965264 46 5 4324 119 512
2.966240 46 5 4324 119 512
2.966241 5 87 119 1440 0
2.980881 15 2 4472 80 0
2.982832 2 15 80 4472 256
2.984784 21 22 1408 80 0
2.987712 88 5 40453 119 39
3.029280 84 5 2235 119 512
3.030256 5 84 119 2235 0
3.030257 78 5 3299 119 42
3.037088 84 5 2235 119 512
3.038064 84 5 2235 119 512
3.046848 105 85 1943 8080 0
3.064416 37 2 1131 1941 0
3.065392 2 37 1941 1131 212
3.069296 5 76 119 4973 5
3.073200 5 82 119 3935 15
3.074176 5 75 119 2845 5
3.076129 5 46 119 4324 0
3.077104 57 5 3114 119 35
3.078081 5 61 119 1569 0
3.084912 76 5 4973 119 6
3.088816 75 5 2845 119 0
3.092720 17 20 25 3173 0
3.111264 75 5 2845 119 512
3.112241 75 5 2845 119 192
3.122976 82 5 3935 119 0
3.137617 76 5 4973 119 0
3.138593 21 22 1408 80 0
3.138594 5 76 119 4973 0
3.154208 15 2 4472 80 0
3.156160 2 15 80 4472 256
3.160064 46 5 4324 119 512
3.162016 46 5 4324 119 512
3.162992 12 2 1064 20 0
3.164944 79 80 25 3615 8
3.165920 2 12 20 1064 256
3.165921 46 5 4324 119 512
3.166896 46 5 4324 119 512
3.167872 46 5 4324 119 512
3.168848 5 88 119 40453 0
3.169825 103 2 56804 20 0
3.169826 103 2 56796 21 0
3.172752 2 103 21 56796 24
3.173728 80 79 3615 25 6
3.182512 21 22 1408 80 0
3.182513 33 2 1167 2005 0
3.184464 2 33 2005 1167 512
3.184465 16 5 119 3853 15
3.194224 82 5 3935 119 50
3.203008 41 2 1119 1951 0
3.204960 2 41 1951 1119 512
3.204961 48 2 1161 2032 0
3.206912 2 48 2032 1161 512
3.211793 10 2 1202 2029 0
3.213744 2 10 2029 1202 512
3.220576 21 2 1397 20 0
3.227408 5 16 3853 119 38
3.228385 25 2 1069 1952 0
3.231312 21 22 1408 80 0
3.234240 22 21 80 1408 0
3.235216 2 25 1952 1069 512
3.246929 22 21 80 1408 0
3.252784 104 22 1079 80 0
3.273280 16 5 119 3853 15
3.276208 5 16 3853 119 39
3.277184 37 2 1131 1941 0
3.279136 79 80 25 3615 0
3.279137 2 37 1941 1131 212
3.290848 16 5 119 3853 15
3.295728 12 2 1064 20 0
3.298657 2 12 20 1064 256
3.300608 5 16 3853 119 35
3.309392 76 5 1144 119 0
3.310368 15 2 4472 80 0
3.311345 79 80 25 3615 42
3.312320 5 76 119 1144 0
3.317200 2 15 80 4472 256
3.323056 80 79 3615 25 0
3.335744 76 5 1144 119 0
3.351360 17 74 25 3096 40
3.358192 12 2 1064 20 0
3.359168 2 12 20 1064 256
3.366976 5 11 119 3868 0
3.366977 62 5 119 4971 0
3.391376 16 5 119 3853 15
3.394304 5 16 3853 119 39
3.396256 50 2 55296 20 0
3.398208 2 50 20 55296 512
3.399184 2 50 20 55296 512
3.400160 35 2 1076 1964 0
3.401136 2 35 1964 1076 212
3.414800 37 2 1131 1941 0
3.414801 79 80 25 3615 0
3.417728 2 37 1941 1131 212
3.430416 5 4 119 4241 47
3.440176 88 5 40453 119 39
3.441152 5 88 119 40453 0
3.443105 62 5 119 4971 15
3.474336 15 2 4472 80 0
3.476288 2 15 80 4472 256
3.487024 12 2 1064 20 0
3.488976 2 12 20 1064 256
